Ntime,Time,Open Price,Closing Price,High price,Low Price,Volume,MACD,CCI,ATR,BOLL_MID,EMA20,MA5,MA10,MTM6,MTM12,ROC,SMI,WVAD,US dollar Index,Federal Fund Rate
20130228,735293,14075.37,14054.49,14149.15,14050.18,177154463,83.08058256,184.0598477,98.97,13941.81769,13921.22036,13962.946,13961.371,126.95,75.19,0.537866703,0.005770398,2820643.531,81.96,0.14
20130301,735294,14054.49,14089.66,14107.09,13937.6,125915928,87.08101083,102.6749594,169.49,13953.75346,13937.26223,13980.764,13972.998,209.04,103.14,0.73742432,0.007658098,1778885.54,82.27,0.14
20130304,735297,14089.66,14127.82,14128.21,14030.37,110808535,92.26697588,137.1892322,97.84,13965.38769,13955.41059,14049.494,13987.604,127.25,183.77,1.317909789,0.006522592,2511296.247,82.18,0.16
20130305,735298,14127.82,14253.77,14286.37,14127.82,112099589,105.3258718,208.6265131,158.55,13979.14885,13983.82577,14120.222,14009.414,469.6,260.8,1.863793033,0.022887278,2529840.805,82.03,0.15
20130306,735299,14253.77,14296.24,14320.65,14253,116512765,117.744826,196.0546645,67.65,13995.08385,14013.57951,14164.396,14046.284,396.11,314.48,2.249216122,0.02907198,4006685.712,82.57,0.15
20130307,735300,14296.24,14329.49,14354.69,14296.24,117081954,128.7853761,165.467536,58.45,14009.50962,14043.66622,14219.396,14091.171,254.12,293.82,2.093380651,0.022954062,5555807.624,82.08,0.16
20130308,735301,14329.49,14397.07,14413.17,14329.49,115632766,141.3587373,149.6998287,83.68,14028.22692,14077.32373,14280.878,14130.821,342.58,469.53,3.37123426,0.042571162,5286039.483,82.74,0.15
20130311,735304,14397.07,14447.29,14448.06,14373.32,94882887,153.6048893,132.5086421,74.74,14050.79269,14112.55861,14344.772,14197.133,357.63,566.67,4.08245453,0.037872847,7106917,82.57,0.16
20130312,735305,14447.29,14450.06,14478.8,14412.06,102097980,161.6699385,114.2599531,66.74,14067.72615,14144.7016,14384.03,14252.126,322.24,449.49,3.210512143,0.025929996,6150613.75,82.6,0.15
20130313,735306,14450.06,14455.28,14472.8,14411.66,83923345,166.562727,97.18227946,61.14,14089.84923,14174.28049,14415.838,14290.117,201.51,671.11,4.868700836,0.027726201,6104837.26,82.9,0.14
20130314,735307,14455.28,14539.14,14539.29,14455.28,117392932,175.1876442,104.8342819,84.01,14111.38154,14209.02902,14457.768,14338.582,242.9,639.01,4.59715125,0.030915171,7647181.295,82.58,0.15
20130315,735308,14539.14,14514.11,14539.14,14470.5,407768229,177.9519224,92.82015281,68.64,14131.67346,14238.08435,14481.176,14381.027,184.62,438.74,3.117076141,0.026614791,5538473.064,82.14,0.16
20130318,735311,14514.11,14452.06,14521.59,14404.21,119636031,173.1398678,67.76779598,117.38,14151.21231,14258.46298,14482.13,14413.451,54.99,397.57,2.828775715,0.013720535,5216475.525,82.62,0.16
20130319,735312,14452.06,14455.82,14514.34,14382.09,122165997,167.6965786,57.12777666,132.25,14169.01423,14277.25889,14483.282,14433.656,8.53,366.16,2.598785208,0.011039152,4457061.67,83.03,0.15
20130320,735313,14455.82,14511.73,14546.82,14455.82,121236925,165.9808782,77.17126401,91,14189.80231,14299.58947,14494.572,14455.205,61.67,383.91,2.717404384,0.012558117,5760902.254,82.83,0.15
20130321,735314,14511.73,14421.49,14511.73,14383.02,110454970,155.546516,32.69728223,128.71,14205.29423,14311.19905,14471.042,14464.405,-33.79,167.72,1.176671154,0.001693306,5146223.368,82.85,0.16
20130322,735315,14421.49,14512.03,14519.95,14421.49,101450525,152.8214002,63.87502273,98.46,14225.645,14330.3258,14470.626,14475.901,-27.11,215.79,1.509417861,0.004461126,5907092.13,82.37,0.15
20130325,735318,14512.03,14447.75,14563.75,14395,124838180,143.8170342,42.30386846,168.75,14243.88962,14341.50906,14469.764,14475.947,-66.36,118.26,0.825291061,-0.000159861,4332633.664,82.93,0.15
20130326,735319,14447.75,14559.65,14561.54,14447.75,96031647,144.0498867,115.7518758,113.79,14266.11615,14362.28439,14490.53,14486.906,107.59,162.58,1.12925755,0.007168442,6354826.929,82.89,0.14
